userType,age,gender,educationLevel,occupation,income_month_1,income_month_2,income_month_3,income_month_4,income_month_5,income_month_6,rentPayment,utility1Payment,utility2Payment,gpa,collegeScore,cosignerIncome,scholarship,creditScore
working,35,male,bachelors,analyst,52901.61,34033.0,19952.13,80729.05,117360.69,12219.58,on-time,on-time,on-time,,,,,79
student,20,other,bachelors,student,2019.45,2071.56,1104.72,0.0,0.0,0.0,on-time,late,late,6.97,49,0.0,0,64
student,30,other,high-school,student,4514.78,0.0,84.56,4397.13,1450.64,0.0,na,on-time,na,9.45,63,115471.44,0,81
working,55,male,bachelors,technician,79497.44,115876.5,79644.93,83465.59,46258.78,118833.6,on-time,on-time,on-time,,,,,80
working,26,other,masters,teacher,58828.6,24065.07,106831.97,84274.44,72403.35,41589.14,late,on-time,on-time,,,,,71
student,24,other,bachelors,student,0.0,0.0,0.0,4398.07,0.0,3315.26,na,on-time,late,7.22,47,0.0,0,71
student,23,male,bachelors,student,0.0,1417.3,1351.17,0.0,0.0,0.0,late,na,na,6.45,71,0.0,0,64
working,57,male,bachelors,sales,13603.86,93347.93,99207.34,95358.68,67361.23,81538.53,late,on-time,on-time,,,,,77
working,44,other,phd,software engineer,90067.64,58492.0,114959.33,105795.32,103978.3,84058.8,on-time,on-time,on-time,,,,,86
working,45,male,bachelors,technician,87853.64,96517.21,75897.08,57702.27,27789.2,69017.57,on-time,on-time,on-time,,,,,78
working,22,other,masters,analyst,49274.37,38827.69,31855.26,45482.0,26111.27,57324.12,na,on-time,na,,,,,75
working,25,other,bachelors,analyst,86135.63,55207.73,24313.61,41017.74,57315.97,71828.96,on-time,on-time,on-time,,,,,73
student,20,other,bachelors,student,0.0,1092.49,0.0,442.25,2668.18,3443.86,na,late,na,6.16,68,0.0,0,55
student,20,male,other,student,328.94,540.47,0.0,0.0,0.0,1663.18,on-time,late,late,9.19,43,0.0,0,73
student,17,female,masters,student,0.0,0.0,0.0,0.0,4268.75,0.0,late,late,late,6.31,77,79963.63,0,68
student,25,female,bachelors,student,0.0,0.0,0.0,0.0,0.0,0.0,late,late,late,5.57,40,0.0,0,47
student,27,female,other,student,0.0,3159.19,0.0,0.0,0.0,0.0,on-time,late,on-time,9.35,91,103067.39,0,78
student,18,female,high-school,student,0.0,0.0,0.0,0.0,2915.03,0.0,on-time,na,late,9.32,46,0.0,0,74
working,31,female,high-school,clerk,116233.56,55378.38,94962.03,95679.97,28829.62,70710.02,on-time,late,on-time,,,,,66
working,22,other,bachelors,sales,18835.91,71988.06,104856.46,28986.16,25366.8,116829.23,on-time,na,on-time,,,,,68
student,22,other,bachelors,student,0.0,2211.93,0.0,2396.94,1449.03,0.0,na,na,on-time,6.44,91,0.0,0,68
working,27,female,other,clerk,38138.43,98777.98,97861.46,29470.38,98624.06,53383.21,on-time,late,on-time,,,,,69
student,28,male,other,student,4916.05,0.0,867.13,4298.65,0.0,4919.53,late,na,late,5.9,45,86874.46,0,59
working,54,other,high-school,manager,53694.04,67069.37,97443.66,108621.85,66054.06,58780.87,on-time,on-time,on-time,,,,,73
working,60,other,masters,manager,113360.83,119829.7,90089.84,90010.78,64685.32,40549.24,on-time,on-time,on-time,,,,,81
student,23,male,bachelors,student,0.0,0.0,0.0,2693.19,3232.76,0.0,na,late,late,9.46,57,0.0,0,79
student,17,other,bachelors,student,1972.21,3953.86,3255.3,0.0,0.0,0.0,na,on-time,late,8.3,82,138297.91,0,81
student,26,male,bachelors,student,0.0,0.0,0.0,0.0,1577.87,0.0,na,on-time,late,9.52,47,0.0,0,83
working,56,female,phd,analyst,33778.01,99730.67,113045.34,112517.58,18684.32,12142.4,on-time,on-time,on-time,,,,,77
student,19,female,bachelors,student,2112.2,0.0,4522.95,3718.75,0.0,0.0,late,on-time,on-time,8.19,52,0.0,0,76
working,53,male,masters,manager,45691.55,76856.53,105857.8,24215.13,113763.82,59824.71,on-time,on-time,on-time,,,,,77
student,23,other,bachelors,student,3010.22,0.0,0.0,4996.87,3462.24,0.0,na,na,late,6.26,92,0.0,0,76
student,18,male,other,student,0.0,0.0,0.0,1266.01,0.0,3119.13,late,on-time,late,8.97,66,0.0,0,72
student,17,female,bachelors,student,304.44,0.0,1119.62,0.0,0.0,0.0,na,late,on-time,5.68,67,0.0,0,69
working,24,other,masters,manager,56096.01,43268.61,21857.97,67743.51,60430.33,69837.35,on-time,on-time,na,,,,,76
working,41,female,bachelors,software engineer,92644.97,57999.54,52328.94,97422.08,29977.1,33907.63,on-time,late,on-time,,,,,70
student,28,other,bachelors,student,0.0,4706.87,376.56,3668.03,0.0,693.45,on-time,na,na,9.03,50,0.0,0,74
student,20,female,bachelors,student,0.0,3689.15,3329.5,0.0,0.0,1694.04,on-time,na,on-time,9.07,55,0.0,0,81
student,17,other,bachelors,student,0.0,2632.17,4778.98,0.0,0.0,3149.68,late,on-time,on-time,8.78,92,84172.99,0,78
working,33,male,high-school,clerk,12567.14,98056.56,43155.03,89105.89,25275.28,60489.76,on-time,on-time,on-time,,,,,70
student,18,other,bachelors,student,3321.69,0.0,0.0,0.0,4326.52,1728.04,late,late,na,5.55,59,0.0,0,61
student,21,female,masters,student,1232.8,0.0,0.0,0.0,4786.15,0.0,on-time,late,on-time,7.23,84,53427.59,0,62
student,26,male,bachelors,student,2100.81,2721.84,0.0,0.0,0.0,0.0,late,na,na,8.5,44,0.0,0,68
student,25,male,bachelors,student,0.0,0.0,0.0,0.0,4572.77,0.0,late,na,late,9.61,73,0.0,0,87
working,24,male,bachelors,sales,47699.47,23121.96,43412.85,21177.83,48488.42,81998.87,na,on-time,on-time,,,,,57
working,50,male,other,sales,80697.08,80044.5,79703.94,31643.55,101225.63,111004.31,on-time,on-time,on-time,,,,,78
working,34,male,bachelors,sales,112857.22,36377.84,43208.21,98546.41,43833.29,110613.42,on-time,on-time,on-time,,,,,78
student,20,other,bachelors,student,950.97,0.0,2148.06,0.0,1396.01,1757.17,late,na,na,6.85,68,0.0,0,68
working,22,male,bachelors,technician,79900.27,101402.3,110957.57,75310.36,18091.11,115677.49,on-time,on-time,on-time,,,,,74
working,34,male,phd,clerk,85807.15,18544.57,118131.88,26345.18,13621.27,104463.62,late,on-time,on-time,,,,,71
student,29,female,bachelors,student,0.0,1102.22,2420.78,0.0,0.0,4442.24,on-time,on-time,na,6.1,42,69571.13,0,62
working,57,other,bachelors,teacher,21183.88,53941.41,55525.76,105525.6,99978.65,63684.86,on-time,on-time,on-time,,,,,80
working,40,other,bachelors,sales,26897.65,108499.05,66590.95,25574.65,95047.59,84322.19,late,on-time,on-time,,,,,71
working,51,other,bachelors,manager,79771.59,42341.94,14285.53,95711.82,85702.02,30502.11,late,late,on-time,,,,,59
student,30,female,bachelors,student,442.79,0.0,0.0,0.0,4511.83,0.0,na,late,na,5.19,70,39814.14,0,54
working,42,male,bachelors,clerk,25469.6,52136.67,20955.78,43496.47,108770.12,20763.64,on-time,na,on-time,,,,,64
student,29,male,bachelors,student,0.0,0.0,0.0,0.0,0.0,0.0,late,late,na,8.83,78,142646.85,0,80
student,26,other,high-school,student,2992.37,1283.1,1370.3,1114.46,2402.68,0.0,na,late,on-time,8.06,74,0.0,1,74
student,22,male,other,student,1866.49,870.03,0.0,0.0,2342.08,0.0,na,on-time,on-time,9.29,76,37197.2,0,73
working,43,other,bachelors,software engineer,56960.51,44516.84,99765.24,51576.22,30473.69,21009.1,on-time,na,on-time,,,,,75
working,60,male,bachelors,sales,85227.45,54797.24,46757.1,98317.47,40574.17,31901.61,na,on-time,on-time,,,,,80
student,27,other,bachelors,student,1560.69,747.45,0.0,0.0,1089.77,4678.54,late,late,on-time,5.23,89,0.0,0,64
student,17,male,bachelors,student,0.0,1948.69,722.03,0.0,3268.55,0.0,na,late,on-time,9.67,71,0.0,0,86
student,25,male,bachelors,student,0.0,0.0,0.0,3113.95,0.0,0.0,na,on-time,late,6.04,61,0.0,0,61
working,23,male,bachelors,manager,100583.39,77234.04,68632.99,62200.44,79806.76,88770.42,on-time,on-time,on-time,,,,,82
student,21,male,other,student,0.0,2097.89,0.0,0.0,4164.94,0.0,on-time,on-time,na,6.1,85,0.0,0,66
student,22,female,other,student,0.0,0.0,0.0,2446.24,0.0,0.0,late,on-time,on-time,7.02,81,0.0,0,58
student,28,female,masters,student,0.0,1307.54,0.0,1185.77,467.6,3365.04,late,na,on-time,8.84,64,0.0,0,86
working,29,female,bachelors,clerk,119193.96,87830.96,45266.73,84785.85,95807.62,97219.38,on-time,on-time,on-time,,,,,81
student,22,female,bachelors,student,0.0,0.0,0.0,1858.87,0.0,1076.67,na,late,on-time,9.53,54,0.0,0,79
working,40,male,bachelors,analyst,42950.74,99355.6,70845.33,67907.06,86035.75,29654.43,on-time,on-time,on-time,,,,,84
student,26,other,high-school,student,0.0,4274.52,0.0,0.0,0.0,3654.04,on-time,na,na,8.63,58,0.0,0,68
working,23,male,bachelors,software engineer,44042.9,22531.6,72261.11,76727.53,37925.9,95532.46,on-time,late,late,,,,,52
student,18,female,bachelors,student,942.34,0.0,0.0,0.0,0.0,0.0,on-time,on-time,on-time,5.72,90,0.0,0,67
working,29,other,bachelors,analyst,47493.89,29344.12,91662.56,38565.84,56652.01,91024.67,na,on-time,on-time,,,,,68
working,50,other,high-school,sales,21232.69,60467.89,24681.42,109052.23,73293.56,100004.6,on-time,on-time,on-time,,,,,69
working,44,female,bachelors,teacher,37995.34,90295.69,36262.96,105913.8,28756.25,33443.89,on-time,on-time,late,,,,,60
working,56,female,bachelors,software engineer,77383.56,35712.5,51526.76,80137.94,35335.94,94604.01,on-time,on-time,late,,,,,57
student,26,female,high-school,student,0.0,0.0,0.0,0.0,0.0,0.0,on-time,late,late,6.12,43,0.0,1,52
working,44,other,bachelors,manager,79729.61,31078.26,72355.23,88188.18,90745.34,43401.02,on-time,on-time,late,,,,,67
student,28,male,other,student,0.0,1365.52,0.0,0.0,0.0,2615.04,on-time,on-time,na,7.88,85,0.0,0,63
working,44,male,bachelors,software engineer,24751.92,61319.7,53379.85,61531.01,38899.97,112565.58,on-time,on-time,on-time,,,,,78
student,24,male,bachelors,student,3558.25,4441.68,0.0,4643.8,0.0,4414.36,late,late,na,6.24,89,99633.37,0,66
working,56,male,bachelors,sales,56312.53,93988.71,97253.59,96616.65,22420.68,70115.21,on-time,on-time,on-time,,,,,76
working,54,other,masters,clerk,96952.25,68515.76,88090.93,47557.64,112480.0,92197.72,on-time,on-time,late,,,,,70
student,19,other,bachelors,student,0.0,228.7,0.0,4207.68,4891.86,4432.14,na,on-time,on-time,8.65,93,0.0,0,76
student,25,male,bachelors,student,4974.24,3341.61,0.0,0.0,1892.71,0.0,on-time,late,on-time,8.53,64,43317.4,0,82
working,56,female,phd,software engineer,114948.08,24961.11,35250.01,77335.49,93090.26,62753.37,on-time,on-time,on-time,,,,,86
student,27,male,bachelors,student,0.0,0.0,0.0,786.5,4663.82,1676.07,on-time,late,on-time,8.99,78,10976.72,0,76
working,38,other,masters,sales,15639.24,11362.46,32121.02,87502.2,103570.0,62001.09,on-time,on-time,on-time,,,,,75
working,37,other,bachelors,sales,104479.75,29445.74,52554.28,114060.56,52548.81,112131.86,on-time,on-time,on-time,,,,,78
working,29,male,bachelors,analyst,16651.64,22805.48,15774.68,50262.06,51338.98,25157.4,na,on-time,na,,,,,69
student,20,male,bachelors,student,3858.55,0.0,0.0,1726.4,0.0,0.0,na,na,na,5.57,77,48949.22,1,68
working,35,female,bachelors,clerk,97424.77,110677.18,15175.47,107624.28,71057.41,31328.31,late,on-time,late,,,,,53
working,49,male,bachelors,clerk,108650.87,106716.84,31103.49,99389.19,109533.45,79250.62,on-time,on-time,on-time,,,,,84
student,20,female,bachelors,student,0.0,0.0,0.0,0.0,4994.1,1548.11,on-time,na,on-time,8.4,85,0.0,0,90
working,32,female,masters,teacher,73819.22,112036.93,95931.3,90360.6,96784.73,94437.7,on-time,on-time,on-time,,,,,90
working,57,other,phd,technician,63606.25,90714.53,55329.59,19202.41,42195.46,43189.77,on-time,on-time,na,,,,,82
working,27,female,bachelors,manager,103249.13,79102.12,17674.76,111479.41,65178.56,118731.64,on-time,on-time,on-time,,,,,85
working,37,other,masters,clerk,69451.85,95731.57,27372.4,66478.95,114800.26,12307.8,on-time,on-time,late,,,,,77
student,17,other,other,student,4761.36,0.0,4783.2,0.0,951.44,0.0,on-time,na,na,7.44,89,0.0,0,62
working,41,male,bachelors,sales,90957.76,104081.54,99226.47,21764.2,11571.79,10751.16,on-time,on-time,on-time,,,,,74
working,56,female,phd,analyst,19319.87,60467.76,33034.11,82489.6,83317.94,96898.81,on-time,on-time,late,,,,,70
working,23,female,bachelors,technician,53636.78,81305.71,111099.09,96091.56,55517.36,33733.71,on-time,on-time,late,,,,,76
student,25,female,bachelors,student,0.0,4219.24,4077.13,0.0,2794.43,1473.37,late,late,late,9.86,52,0.0,1,85
student,26,other,bachelors,student,0.0,4413.88,3187.74,0.0,0.0,4450.96,on-time,na,on-time,9.04,90,110981.92,0,91
student,22,female,bachelors,student,0.0,0.0,0.0,0.0,52.29,3136.08,on-time,on-time,on-time,7.87,93,0.0,0,67
working,36,male,bachelors,software engineer,72684.01,79321.07,41020.49,18140.87,114108.85,69292.49,on-time,on-time,on-time,,,,,72
student,28,male,bachelors,student,0.0,0.0,3411.75,46.72,0.0,4595.2,on-time,na,late,8.5,82,0.0,0,88
student,24,other,masters,student,0.0,2934.92,1163.52,0.0,0.0,0.0,on-time,on-time,na,8.31,89,8367.62,0,88
working,43,male,phd,sales,77713.62,29139.77,77184.3,88663.05,31687.88,59920.26,on-time,on-time,on-time,,,,,81
student,24,male,bachelors,student,1910.85,3134.03,0.0,0.0,0.0,0.0,on-time,on-time,on-time,8.59,84,113950.72,0,78
student,27,male,other,student,0.0,0.0,0.0,0.0,0.0,2825.67,na,on-time,na,5.68,92,0.0,0,61
student,19,male,bachelors,student,0.0,481.5,3370.31,915.83,4104.24,2286.31,late,on-time,on-time,6.12,52,0.0,0,60
working,55,other,phd,technician,35225.5,98840.4,105369.94,101165.89,118939.38,72657.7,on-time,on-time,on-time,,,,,83
working,53,male,masters,clerk,15546.08,66375.19,12915.78,51000.88,58217.9,82505.28,on-time,na,on-time,,,,,85
student,23,other,bachelors,student,861.63,0.0,3932.69,4239.26,4011.16,0.0,late,on-time,na,9.97,51,33131.53,0,84
working,31,female,bachelors,sales,117876.94,77223.3,66275.58,22896.56,75902.73,92515.74,on-time,on-time,on-time,,,,,81
student,18,female,masters,student,3270.63,0.0,1496.44,1081.98,0.0,0.0,na,on-time,on-time,6.09,51,0.0,0,57
student,17,female,high-school,student,0.0,3953.57,0.0,0.0,0.0,0.0,on-time,on-time,late,8.27,84,0.0,0,65
student,18,other,high-school,student,0.0,0.0,0.0,0.0,201.26,1794.76,late,na,late,7.03,89,0.0,0,62
student,27,other,bachelors,student,0.0,0.0,2287.12,3200.37,0.0,1535.29,on-time,late,na,8.29,52,0.0,0,78
student,20,female,bachelors,student,3005.2,0.0,1917.77,0.0,1752.59,0.0,late,na,na,9.11,43,80421.97,0,74
student,29,other,masters,student,4999.61,4244.45,0.0,3852.76,0.0,2614.31,na,late,na,7.9,72,0.0,0,77
working,56,female,bachelors,teacher,108289.68,89801.33,12608.46,71779.92,115427.87,70274.04,on-time,on-time,on-time,,,,,77
working,28,male,bachelors,clerk,117897.08,56759.18,54601.49,45012.27,40786.87,29623.44,on-time,na,on-time,,,,,73
working,54,male,masters,sales,82608.52,35581.39,21489.17,67295.94,68154.78,60437.61,on-time,late,on-time,,,,,72
working,54,female,bachelors,software engineer,11524.57,80888.68,47830.5,36439.69,19144.78,83002.74,on-time,na,on-time,,,,,76
student,29,other,high-school,student,0.0,0.0,1309.97,0.0,3469.08,0.0,na,on-time,on-time,9.58,48,74996.69,0,76
student,20,male,bachelors,student,0.0,0.0,0.0,2295.28,887.42,0.0,late,late,na,9.45,49,0.0,1,81
student,23,female,bachelors,student,2784.6,0.0,0.0,1773.58,1387.24,0.0,on-time,late,late,7.31,66,125693.74,0,76
working,45,female,masters,manager,69681.86,28532.06,28325.51,71821.45,32496.19,35675.79,na,na,late,,,,,60
working,27,male,bachelors,technician,62059.0,72211.64,79261.96,67260.57,20450.76,104636.27,on-time,on-time,on-time,,,,,86
working,27,female,phd,sales,69085.95,114818.03,19009.04,62940.03,93461.57,103485.44,on-time,on-time,on-time,,,,,86
student,30,other,bachelors,student,0.0,0.0,1529.29,0.0,4520.12,0.0,on-time,late,late,7.1,75,0.0,0,64
working,52,female,high-school,analyst,66965.15,68618.08,103739.74,96809.87,51763.6,68186.3,on-time,on-time,late,,,,,59
student,21,other,bachelors,student,3664.59,4312.5,0.0,4297.68,0.0,0.0,late,late,late,7.75,75,0.0,0,77
student,24,male,bachelors,student,0.0,0.0,242.05,2708.45,0.0,3580.32,on-time,na,na,7.14,69,129171.98,0,79
working,57,female,other,technician,49890.78,68933.12,73654.19,77342.21,61530.23,50058.97,on-time,on-time,on-time,,,,,78
working,52,other,masters,clerk,74066.15,61201.78,106938.85,11157.72,22591.05,46790.42,on-time,on-time,on-time,,,,,81
student,29,other,other,student,0.0,4646.76,3632.45,0.0,2334.8,0.0,late,na,late,9.38,80,0.0,0,73
student,27,other,bachelors,student,0.0,2421.68,3043.72,0.0,3741.17,0.0,late,na,on-time,9.17,73,14533.95,1,92
student,21,other,bachelors,student,1859.6,0.0,1375.26,0.0,0.0,0.0,on-time,on-time,on-time,8.12,41,28832.33,0,64
student,17,female,high-school,student,922.45,4058.33,2389.5,0.0,1556.26,163.96,late,na,na,9.39,71,0.0,0,82
working,27,female,phd,sales,54805.59,28177.17,71035.2,33722.04,33967.69,80631.9,on-time,late,on-time,,,,,72
student,17,female,bachelors,student,0.0,0.0,0.0,0.0,0.0,0.0,na,on-time,late,8.35,59,0.0,0,82
student,29,female,bachelors,student,0.0,0.0,4514.12,0.0,0.0,0.0,late,late,late,9.65,65,84922.43,0,85
working,47,female,masters,teacher,96469.61,62408.55,76530.92,103162.42,48853.45,56888.67,on-time,on-time,on-time,,,,,89
student,18,male,bachelors,student,930.06,0.0,2782.09,1632.92,0.0,0.0,na,na,on-time,9.44,79,0.0,0,81
student,23,male,bachelors,student,0.0,624.39,80.78,0.0,0.0,0.0,na,on-time,on-time,5.41,72,0.0,0,60
working,49,other,masters,manager,113687.15,50460.47,81571.87,19502.42,67395.59,82552.95,on-time,on-time,on-time,,,,,86
working,55,male,bachelors,software engineer,17736.27,37613.16,29023.9,56331.42,79297.17,103196.77,on-time,on-time,on-time,,,,,73
student,17,other,bachelors,student,0.0,1884.59,2894.21,683.21,0.0,0.0,late,late,na,6.47,72,0.0,0,60
student,26,male,high-school,student,3205.24,0.0,0.0,4138.49,0.0,0.0,on-time,na,na,6.86,91,0.0,1,74
student,24,male,bachelors,student,202.06,0.0,0.0,0.0,0.0,0.0,late,late,late,6.17,75,0.0,0,63
working,49,male,bachelors,sales,15890.56,35602.63,107558.82,114820.2,84484.9,40874.41,on-time,on-time,on-time,,,,,67
working,44,other,high-school,software engineer,61175.59,14931.55,81917.28,58470.74,23129.64,67426.77,on-time,on-time,on-time,,,,,81
student,20,male,other,student,0.0,0.0,4181.95,0.0,0.0,0.0,on-time,late,late,8.19,86,0.0,0,67
working,49,female,masters,analyst,86868.63,73953.36,82271.79,66191.1,47455.09,11051.55,late,on-time,on-time,,,,,72
working,49,female,masters,manager,113474.83,33230.69,20136.53,101748.2,81321.99,13725.78,late,on-time,on-time,,,,,61
student,29,female,masters,student,198.54,0.0,2183.53,0.0,0.0,0.0,late,na,late,5.17,58,87990.0,0,61
working,43,male,bachelors,analyst,87039.08,71067.75,61493.68,62930.09,48967.63,79765.24,on-time,late,on-time,,,,,60
student,28,female,bachelors,student,0.0,0.0,4923.65,0.0,0.0,0.0,na,on-time,on-time,9.55,65,0.0,0,78
student,28,male,bachelors,student,0.0,0.0,1045.26,2802.71,0.0,0.0,na,on-time,on-time,9.94,67,91843.9,0,88
student,22,other,bachelors,student,0.0,0.0,466.64,0.0,0.0,0.0,on-time,na,na,5.57,50,0.0,0,56
student,24,male,bachelors,student,0.0,165.99,0.0,1702.94,0.0,2778.68,na,na,late,6.72,79,0.0,0,57
student,17,other,bachelors,student,0.0,3381.68,0.0,2076.3,2743.45,0.0,on-time,na,on-time,8.32,79,0.0,0,83
student,23,female,bachelors,student,967.44,0.0,0.0,0.0,0.0,0.0,on-time,late,na,9.38,41,138015.54,0,70
student,30,other,bachelors,student,0.0,0.0,769.19,0.0,0.0,0.0,late,on-time,na,5.84,40,61858.99,0,63
student,29,male,bachelors,student,0.0,0.0,0.0,0.0,0.0,0.0,on-time,late,late,5.44,79,0.0,1,63
working,40,male,bachelors,clerk,75515.83,62559.67,87202.65,118794.71,101344.34,19253.96,on-time,on-time,on-time,,,,,86
working,45,other,bachelors,software engineer,114505.93,117158.54,70643.38,91926.38,78773.45,115167.17,on-time,on-time,on-time,,,,,88
working,47,male,masters,manager,116934.91,73339.7,111174.69,89725.09,103905.68,113665.63,on-time,on-time,on-time,,,,,92
student,20,female,high-school,student,0.0,2715.47,0.0,0.0,4107.18,3129.35,na,na,on-time,9.59,48,0.0,0,74
working,55,female,bachelors,sales,39455.67,26299.27,109438.86,47126.0,81466.12,30930.59,late,on-time,on-time,,,,,54
working,41,female,bachelors,clerk,85786.72,82397.83,58677.98,49162.39,31837.99,73800.98,on-time,late,late,,,,,55
student,19,other,bachelors,student,1977.61,0.0,0.0,0.0,0.0,2769.86,na,na,late,8.02,59,0.0,0,69
working,22,male,bachelors,clerk,73682.65,30132.86,114860.94,13858.83,108180.59,76362.26,late,on-time,on-time,,,,,66
working,39,male,bachelors,software engineer,82012.53,107188.39,89684.86,21977.25,90594.89,105178.73,on-time,on-time,on-time,,,,,81
student,21,female,bachelors,student,3952.25,0.0,0.0,0.0,203.99,2520.02,late,on-time,na,9.01,70,149495.69,0,81
student,27,male,bachelors,student,4405.99,1054.25,3365.27,2755.01,4673.61,0.0,late,late,na,9.76,56,0.0,0,69
working,34,male,masters,sales,21520.86,28736.25,80325.34,88526.09,50959.7,39310.91,on-time,on-time,on-time,,,,,72
working,31,other,bachelors,technician,20564.25,59286.23,117702.85,78446.76,33428.03,27144.67,late,late,on-time,,,,,60
student,24,female,bachelors,student,4815.35,4805.89,4191.82,1785.67,0.0,0.0,late,na,na,5.5,80,0.0,0,68
student,18,female,bachelors,student,0.0,0.0,0.0,0.0,0.0,3190.79,na,na,late,8.64,94,0.0,0,77
working,29,other,masters,technician,60203.04,15419.22,37802.86,24181.1,69447.94,34358.38,na,na,na,,,,,66
student,22,female,bachelors,student,2592.91,0.0,4748.26,0.0,226.92,4163.31,on-time,on-time,na,7.06,79,0.0,0,63
working,35,male,bachelors,teacher,64020.76,96224.75,51212.99,96236.48,107359.68,62539.94,late,on-time,on-time,,,,,72
student,18,female,bachelors,student,4926.79,1357.43,3139.64,0.0,1306.78,0.0,late,late,on-time,7.83,47,0.0,0,62
working,27,female,masters,manager,113053.97,43418.28,104089.86,50645.06,71548.4,29584.38,on-time,late,on-time,,,,,69
working,38,male,bachelors,analyst,89252.26,41898.64,102958.5,27217.85,95738.66,77290.09,on-time,on-time,on-time,,,,,81
working,42,male,bachelors,technician,19386.61,35080.5,27150.84,19633.34,30993.68,117185.47,na,on-time,on-time,,,,,74
working,55,male,masters,manager,41343.87,15003.13,76500.68,29014.73,59894.56,10540.37,on-time,late,on-time,,,,,62
student,24,male,bachelors,student,4125.47,0.0,4586.7,2625.75,0.0,673.0,late,na,on-time,8.48,90,0.0,0,86
student,26,female,bachelors,student,3220.26,0.0,0.0,0.0,1148.93,4337.35,na,na,na,5.98,85,118482.09,1,84
working,28,female,other,sales,38665.74,67732.09,110292.07,92676.12,19129.71,79548.57,on-time,on-time,on-time,,,,,78
working,28,other,phd,sales,25172.13,87815.9,74981.53,81695.2,79330.63,64903.62,on-time,on-time,on-time,,,,,87
student,28,other,bachelors,student,0.0,0.0,3819.67,0.0,0.0,432.55,late,on-time,on-time,7.37,40,0.0,1,67
working,41,female,other,analyst,55947.55,28366.94,107188.4,63053.22,11418.88,89717.92,on-time,on-time,na,,,,,75
student,24,female,bachelors,student,0.0,0.0,2257.77,2423.71,4223.7,1641.61,na,on-time,on-time,8.71,90,0.0,0,74
student,17,female,bachelors,student,1687.83,0.0,0.0,0.0,0.0,0.0,late,on-time,on-time,9.58,73,0.0,0,80
working,59,male,masters,analyst,113314.42,111967.57,29461.42,96829.74,75840.53,103944.16,on-time,on-time,on-time,,,,,90
student,18,male,bachelors,student,3731.22,0.0,0.0,3173.4,0.0,0.0,on-time,late,late,6.77,46,0.0,0,66
working,30,other,bachelors,technician,19818.24,30750.88,45326.61,72315.3,16841.81,111594.86,late,na,on-time,,,,,54
working,30,female,bachelors,technician,18478.23,95084.97,74386.38,79057.65,62943.2,17947.72,late,on-time,late,,,,,54
student,30,female,high-school,student,2225.23,0.0,3452.15,0.0,4718.29,3886.07,na,na,na,7.55,51,61559.02,0,64
student,20,female,masters,student,0.0,413.57,0.0,0.0,0.0,0.0,late,late,on-time,8.97,77,0.0,0,77
student,30,female,bachelors,student,364.38,2501.72,2377.45,0.0,0.0,0.0,na,on-time,late,6.29,48,114145.09,0,61
student,22,female,bachelors,student,0.0,0.0,0.0,0.0,1542.02,0.0,na,na,on-time,6.35,87,81983.97,0,73
working,37,other,bachelors,teacher,18850.34,116205.61,47665.79,97772.5,98577.83,93416.5,on-time,on-time,on-time,,,,,88
student,30,other,bachelors,student,0.0,4389.91,729.27,0.0,0.0,3019.78,on-time,na,late,6.79,78,25132.74,0,64
working,40,other,masters,teacher,33501.56,119335.29,113083.42,44539.84,111023.99,98881.23,on-time,on-time,on-time,,,,,82
student,26,male,bachelors,student,0.0,4854.28,0.0,0.0,0.0,3374.96,on-time,on-time,late,6.55,52,0.0,0,53
student,21,female,bachelors,student,0.0,0.0,0.0,0.0,4643.16,3142.82,late,on-time,late,8.29,54,35874.68,0,64
student,28,other,bachelors,student,3039.76,392.91,3903.24,1573.9,2320.36,2443.0,late,on-time,late,7.91,45,134009.8,0,73
working,58,other,masters,teacher,47112.22,93501.42,52521.05,82878.8,68423.0,37156.97,on-time,on-time,on-time,,,,,83
student,23,male,bachelors,student,0.0,2237.88,754.78,0.0,0.0,3683.49,late,late,late,7.09,87,17072.97,0,74
working,56,female,bachelors,sales,66452.58,46681.35,27133.43,57982.41,61693.07,114766.19,on-time,on-time,late,,,,,57
working,39,male,bachelors,clerk,57925.87,70421.21,67774.46,105724.63,64160.19,54059.29,on-time,late,on-time,,,,,69
student,18,male,masters,student,0.0,99.65,0.0,4397.02,4237.75,2932.45,na,na,late,7.28,67,0.0,0,73
working,40,female,bachelors,sales,50111.51,112913.07,84693.63,34316.44,105875.62,65841.17,on-time,on-time,on-time,,,,,87
student,19,male,bachelors,student,3364.55,0.0,0.0,2970.49,3958.83,0.0,on-time,late,na,7.32,52,0.0,0,72
working,59,male,masters,sales,118663.98,42062.64,70780.23,44681.06,90952.12,112199.07,on-time,on-time,on-time,,,,,89
student,17,female,bachelors,student,0.0,2980.78,0.0,569.6,3006.79,0.0,late,on-time,na,8.47,87,72415.31,0,88
student,26,other,bachelors,student,2592.16,1406.22,0.0,0.0,0.0,2912.6,na,late,on-time,5.68,65,0.0,0,59
student,25,male,other,student,0.0,0.0,0.0,0.0,0.0,0.0,late,on-time,na,6.45,62,3899.22,0,53
working,53,male,masters,teacher,65292.77,41940.13,111523.04,22998.61,101674.16,85397.0,on-time,on-time,on-time,,,,,83
working,59,male,masters,manager,24202.85,81121.46,63046.61,59425.88,29565.64,26058.99,on-time,na,on-time,,,,,77
